"act","time_range","stage","day","start_time","end_time","date","act_name_short","act_order","index","time_position","datetime"
"ZIGGY MARLEY","12:15 - 13:15","PYRAMID STAGE","FRIDAY","12:15","13:15",2022-07-01,"ZIGGY MARLEY",1,1,"start_datetime",2022-07-01 12:15:00
"ZIGGY MARLEY","12:15 - 13:15","PYRAMID STAGE","FRIDAY","12:15","13:15",2022-07-01,"ZIGGY MARLEY",1,1,"end_datetime",2022-07-01 13:15:00
"RUFUS WAINWRIGHT","13:45 - 14:45","PYRAMID STAGE","FRIDAY","13:45","14:45",2022-07-01,"RUFUS WAINWRIGHT",2,2,"start_datetime",2022-07-01 13:45:00
"RUFUS WAINWRIGHT","13:45 - 14:45","PYRAMID STAGE","FRIDAY","13:45","14:45",2022-07-01,"RUFUS WAINWRIGHT",2,2,"end_datetime",2022-07-01 14:45:00
"CROWDED HOUSE","15:15 - 16:15","PYRAMID STAGE","FRIDAY","15:15","16:15",2022-07-01,"CROWDED HOUSE",3,3,"start_datetime",2022-07-01 15:15:00
"CROWDED HOUSE","15:15 - 16:15","PYRAMID STAGE","FRIDAY","15:15","16:15",2022-07-01,"CROWDED HOUSE",3,3,"end_datetime",2022-07-01 16:15:00
"WOLF ALICE","16:45 - 17:45","PYRAMID STAGE","FRIDAY","16:45","17:45",2022-07-01,"WOLF ALICE",4,4,"start_datetime",2022-07-01 16:45:00
"WOLF ALICE","16:45 - 17:45","PYRAMID STAGE","FRIDAY","16:45","17:45",2022-07-01,"WOLF ALICE",4,4,"end_datetime",2022-07-01 17:45:00
"ROBERT PLANT & ALISON KRAUSS","18:15 - 19:30","PYRAMID STAGE","FRIDAY","18:15","19:30",2022-07-01,"ROBERT PLANT & ALISO",5,5,"start_datetime",2022-07-01 18:15:00
"ROBERT PLANT & ALISON KRAUSS","18:15 - 19:30","PYRAMID STAGE","FRIDAY","18:15","19:30",2022-07-01,"ROBERT PLANT & ALISO",5,5,"end_datetime",2022-07-01 19:30:00
"SAM FENDER","20:15 - 21:15","PYRAMID STAGE","FRIDAY","20:15","21:15",2022-07-01,"SAM FENDER",6,6,"start_datetime",2022-07-01 20:15:00
"SAM FENDER","20:15 - 21:15","PYRAMID STAGE","FRIDAY","20:15","21:15",2022-07-01,"SAM FENDER",6,6,"end_datetime",2022-07-01 21:15:00
"BILLIE EILISH","22:15 - 23:45","PYRAMID STAGE","FRIDAY","22:15","23:45",2022-07-01,"BILLIE EILISH",7,7,"start_datetime",2022-07-01 22:15:00
"BILLIE EILISH","22:15 - 23:45","PYRAMID STAGE","FRIDAY","22:15","23:45",2022-07-01,"BILLIE EILISH",7,7,"end_datetime",2022-07-01 23:45:00
"LES AMAZONES D'AFRIQUE","12:00 - 12:45","PYRAMID STAGE","SATURDAY","12:00","12:45",2022-07-02,"LES AMAZONES D'AFRIQ",1,8,"start_datetime",2022-07-02 12:00:00
"LES AMAZONES D'AFRIQUE","12:00 - 12:45","PYRAMID STAGE","SATURDAY","12:00","12:45",2022-07-02,"LES AMAZONES D'AFRIQ",1,8,"end_datetime",2022-07-02 12:45:00
"JOY CROOKES","13:15 - 14:00","PYRAMID STAGE","SATURDAY","13:15","14:00",2022-07-02,"JOY CROOKES",2,9,"start_datetime",2022-07-02 13:15:00
"JOY CROOKES","13:15 - 14:00","PYRAMID STAGE","SATURDAY","13:15","14:00",2022-07-02,"JOY CROOKES",2,9,"end_datetime",2022-07-02 14:00:00
"EASY LIFE","14:30 - 15:30","PYRAMID STAGE","SATURDAY","14:30","15:30",2022-07-02,"EASY LIFE",3,10,"start_datetime",2022-07-02 14:30:00
"EASY LIFE","14:30 - 15:30","PYRAMID STAGE","SATURDAY","14:30","15:30",2022-07-02,"EASY LIFE",3,10,"end_datetime",2022-07-02 15:30:00
"AJ TRACEY","16:00 - 16:45","PYRAMID STAGE","SATURDAY","16:00","16:45",2022-07-02,"AJ TRACEY",4,11,"start_datetime",2022-07-02 16:00:00
"AJ TRACEY","16:00 - 16:45","PYRAMID STAGE","SATURDAY","16:00","16:45",2022-07-02,"AJ TRACEY",4,11,"end_datetime",2022-07-02 16:45:00
"HAIM","17:30 - 18:30","PYRAMID STAGE","SATURDAY","17:30","18:30",2022-07-02,"HAIM",5,12,"start_datetime",2022-07-02 17:30:00
"HAIM","17:30 - 18:30","PYRAMID STAGE","SATURDAY","17:30","18:30",2022-07-02,"HAIM",5,12,"end_datetime",2022-07-02 18:30:00
"NOEL GALLAGHER'S HIGH FLYING BIRDS","19:15 - 20:30","PYRAMID STAGE","SATURDAY","19:15","20:30",2022-07-02,"NOEL GALLAGHER'S HIG",6,13,"start_datetime",2022-07-02 19:15:00
"NOEL GALLAGHER'S HIGH FLYING BIRDS","19:15 - 20:30","PYRAMID STAGE","SATURDAY","19:15","20:30",2022-07-02,"NOEL GALLAGHER'S HIG",6,13,"end_datetime",2022-07-02 20:30:00
"PAUL MCCARTNEY","21:30 - 23:45","PYRAMID STAGE","SATURDAY","21:30","23:45",2022-07-02,"PAUL MCCARTNEY",7,14,"start_datetime",2022-07-02 21:30:00
"PAUL MCCARTNEY","21:30 - 23:45","PYRAMID STAGE","SATURDAY","21:30","23:45",2022-07-02,"PAUL MCCARTNEY",7,14,"end_datetime",2022-07-02 23:45:00
"BLACK DYKE BAND","11:30 - 12:15","PYRAMID STAGE","SUNDAY","11:30","12:15",2022-07-03,"BLACK DYKE BAND",1,15,"start_datetime",2022-07-03 11:30:00
"BLACK DYKE BAND","11:30 - 12:15","PYRAMID STAGE","SUNDAY","11:30","12:15",2022-07-03,"BLACK DYKE BAND",1,15,"end_datetime",2022-07-03 12:15:00
"DAKHABRAKHA","12:45 - 13:30","PYRAMID STAGE","SUNDAY","12:45","13:30",2022-07-03,"DAKHABRAKHA",2,16,"start_datetime",2022-07-03 12:45:00
"DAKHABRAKHA","12:45 - 13:30","PYRAMID STAGE","SUNDAY","12:45","13:30",2022-07-03,"DAKHABRAKHA",2,16,"end_datetime",2022-07-03 13:30:00
"HERBIE HANCOCK","14:00 - 15:00","PYRAMID STAGE","SUNDAY","14:00","15:00",2022-07-03,"HERBIE HANCOCK",3,17,"start_datetime",2022-07-03 14:00:00
"HERBIE HANCOCK","14:00 - 15:00","PYRAMID STAGE","SUNDAY","14:00","15:00",2022-07-03,"HERBIE HANCOCK",3,17,"end_datetime",2022-07-03 15:00:00
"DIANA ROSS","16:00 - 17:15","PYRAMID STAGE","SUNDAY","16:00","17:15",2022-07-03,"DIANA ROSS",4,18,"start_datetime",2022-07-03 16:00:00
"DIANA ROSS","16:00 - 17:15","PYRAMID STAGE","SUNDAY","16:00","17:15",2022-07-03,"DIANA ROSS",4,18,"end_datetime",2022-07-03 17:15:00
"ELBOW","17:45 - 18:45","PYRAMID STAGE","SUNDAY","17:45","18:45",2022-07-03,"ELBOW",5,19,"start_datetime",2022-07-03 17:45:00
"ELBOW","17:45 - 18:45","PYRAMID STAGE","SUNDAY","17:45","18:45",2022-07-03,"ELBOW",5,19,"end_datetime",2022-07-03 18:45:00
"LORDE","19:30 - 20:45","PYRAMID STAGE","SUNDAY","19:30","20:45",2022-07-03,"LORDE",6,20,"start_datetime",2022-07-03 19:30:00
"LORDE","19:30 - 20:45","PYRAMID STAGE","SUNDAY","19:30","20:45",2022-07-03,"LORDE",6,20,"end_datetime",2022-07-03 20:45:00
"KENDRICK LAMAR","21:45 - 23:15","PYRAMID STAGE","SUNDAY","21:45","23:15",2022-07-03,"KENDRICK LAMAR",7,21,"start_datetime",2022-07-03 21:45:00
"KENDRICK LAMAR","21:45 - 23:15","PYRAMID STAGE","SUNDAY","21:45","23:15",2022-07-03,"KENDRICK LAMAR",7,21,"end_datetime",2022-07-03 23:15:00
"THE LIBERTINES","11:30 - 12:30","OTHER STAGE","FRIDAY","11:30","12:30",2022-07-01,"THE LIBERTINES",1,22,"start_datetime",2022-07-01 11:30:00
"THE LIBERTINES","11:30 - 12:30","OTHER STAGE","FRIDAY","11:30","12:30",2022-07-01,"THE LIBERTINES",1,22,"end_datetime",2022-07-01 12:30:00
"KAE TEMPEST","13:00 - 13:45","OTHER STAGE","FRIDAY","13:00","13:45",2022-07-01,"KAE TEMPEST",2,23,"start_datetime",2022-07-01 13:00:00
"KAE TEMPEST","13:00 - 13:45","OTHER STAGE","FRIDAY","13:00","13:45",2022-07-01,"KAE TEMPEST",2,23,"end_datetime",2022-07-01 13:45:00
"BLOSSOMS","14:15 - 15:15","OTHER STAGE","FRIDAY","14:15","15:15",2022-07-01,"BLOSSOMS",3,24,"start_datetime",2022-07-01 14:15:00
"BLOSSOMS","14:15 - 15:15","OTHER STAGE","FRIDAY","14:15","15:15",2022-07-01,"BLOSSOMS",3,24,"end_datetime",2022-07-01 15:15:00
"FIRST AID KIT","15:45 - 16:45","OTHER STAGE","FRIDAY","15:45","16:45",2022-07-01,"FIRST AID KIT",4,25,"start_datetime",2022-07-01 15:45:00
"FIRST AID KIT","15:45 - 16:45","OTHER STAGE","FRIDAY","15:45","16:45",2022-07-01,"FIRST AID KIT",4,25,"end_datetime",2022-07-01 16:45:00
"SUPERGRASS","17:15 - 18:15","OTHER STAGE","FRIDAY","17:15","18:15",2022-07-01,"SUPERGRASS",5,26,"start_datetime",2022-07-01 17:15:00
"SUPERGRASS","17:15 - 18:15","OTHER STAGE","FRIDAY","17:15","18:15",2022-07-01,"SUPERGRASS",5,26,"end_datetime",2022-07-01 18:15:00
"IDLES","18:45 - 19:45","OTHER STAGE","FRIDAY","18:45","19:45",2022-07-01,"IDLES",6,27,"start_datetime",2022-07-01 18:45:00
"IDLES","18:45 - 19:45","OTHER STAGE","FRIDAY","18:45","19:45",2022-07-01,"IDLES",6,27,"end_datetime",2022-07-01 19:45:00
